gene	YPA_WT_pre_shift.TE	YPA_4Gts_pre_shift.TE	YPA_WT_0h.TE	YPA_4Gts_0h.TE	YPA_WT_2h.TE	YPA_4Gts_2h.TE
YBL050W	2.628285344	2.36564077	2.348722075	2.33195396	2.265241137	1.967732398
YJR086W	1.827824985	1.788862531	1.991542445	2.008071466	1.786445603	3.139528096
YJR014W	2.332859681	2.866375208	2.651053838	2.800081776	3.311102153	2.336270908
YHR050W	0.516649029	0.533361807	0.477104595	0.379866227	0.520138678	0.64965822
YPL018W	0.95337588	0.98310333	1.448929956	0.839738977	0.69120651	1.244857437
YJR041C	0.588312951	0.678268833	0.581944815	0.439098294	0.509906442	0.690154425
YKR028W	0.764307816	1.031784331	0.790785322	0.870333759	0.712657747	0.474473559
YMR286W	3.182599894	3.380202089	3.046554113	3.869072909	2.980828075	2.470217106
YDL175C	1.155027445	1.13218933	1.15577183	1.273691044	1.776299083	1.746362503
YKL168C	0.756405076	0.571987392	0.610546804	0.556485164	0.698844151	0.832404672
YFL026W	0.638316978	0.58973934	0.537045682	0.562175726	0.424588073	0.511583424
YDL102W	1.176200981	1.177842459	1.030158534	1.222116613	1.135728011	1.231059017
YDL128W	0.989848901	0.74041255	1.028337788	0.782893685	0.802691431	0.831870834
YPL098C	2.070931199	2.230163171	2.285013085	2.596644137	2.603941766	4.208625163
YMR033W	0.993025416	1.25334452	0.930668817	1.046222108	1.062186228	1.00825188
YPR003C	0.546828527	0.323019666	0.551475744	0.618358515	0.468236668	0.594320427
YGR262C	1.577389983	1.572965329	1.842937225	1.354013903	2.317574769	2.034185646
YDR202C	1.080804247	1.012731102	0.953912805	1.179964118	1.543521304	1.684238936
YGR215W	3.048498624	3.25603823	4.153417637	4.86880097	4.190082439	2.661123815
YCR082W	1.071127108	1.528447442	1.424459615	1.723594675	1.128821021	1.730521242
YOR001W	0.930701088	1.101462208	1.040897957	0.928733053	1.178910596	1.115823301
YKL088W	2.549297618	3.339101838	2.980101472	2.197066427	2.883058733	3.173514114
YLR276C	0.883672668	0.936213833	0.723595421	0.726972708	0.750860355	0.883969563
YNR022C	1.814595262	1.864582496	1.582119241	2.460684399	1.991766128	2.308235657
YDR409W	0.473540065	0.557932147	0.602478591	0.446238104	0.572032974	0.410212762
YBR221C	1.883052851	1.854587942	1.901148402	1.777251541	2.175777104	2.463334495
YPL158C	0.695146819	0.776891412	0.79200998	0.7530268	0.778480059	1.123626261
YJL121C	1.719249065	1.463373482	1.759496311	1.647053563	2.193737735	2.331749093
YKL008C	0.943512897	1.13751165	0.767159047	1.063615875	0.747984188	0.888480339
YBR103W	1.20127545	0.860679142	1.418013608	1.433719842	1.090570271	1.250592074
YPL032C	0.830642148	0.838529311	0.874548844	0.900730322	1.111414158	0.81619779
YHR064C	1.644313876	1.513162494	1.474175639	1.35488302	1.719461739	1.886995854
YKL197C	0.726314762	0.68478232	0.693737484	0.921035446	0.672948225	0.668438733
YGR202C	1.53204686	1.307701945	1.337927105	1.657529511	1.04574778	0.625008809
YDR377W	2.308256651	2.278941894	2.260265836	2.409685759	2.008060131	4.68244389
YIR007W	0.90401275	1.128431649	1.072788213	1.007777481	1.234622155	1.200045495
YPL045W	0.544989152	0.650474384	0.479931569	0.561795716	0.378971845	0.626670314
YLR314C	1.860735961	1.884281383	1.790371039	2.074624692	2.411029605	1.440671443
YNL126W	0.485550497	0.52266253	0.52865927	0.511145464	0.444347042	0.733500904
YOR327C	2.219117504	2.237826962	2.509214637	2.173020193	2.955817313	4.001894637
YOL139C	1.895317447	1.413715735	1.835880949	1.598816473	1.480116486	2.056529188
